,Name,Description,Price,Type
0,Mercedes-Benz M Class 2006 Black,"Direct foreign , neat car , perfectly working , no issues","? 10,500,000",Foreign Used
1,BMW 330i 2021 Black,"Extremely clean and sound 2021 Foreign used BMW 330i
Properly documented 
With original custom duty...","? 43,000,000",Foreign Used
2,Lexus ES 350 2008 Silver,Car in perfect condition buy & drive everything working perfectly fine engine gear untouched...,"? 8,600,000",Local Used
3,Honda Accord 2018 White,"Registered Belgium standard Honda Accord 2018. V4 engine. Untouched engine and gear. First body, AC...","? 14,900,000",Foreign Used
4,Lexus RX 350 2012 Black,"Very clean Lexus RX 350 2012 model with thumbstart black color 
Accident free
Good and neat...","? 20,500,000",Foreign Used
5,Mercedes-Benz C450 2016 White,Mercedes Benz C450 Foreign used for sale now in abuja clean title,"? 43,000,000",Foreign Used
6,Mercedes-Benz M Class ML 350 4Matic 2012 Brown,"Tokunbo 2012 Mercedes-Benz ML 350, Brown Color, Keyless Entry, Accident Free, Run and Drive, Clean...","? 25,200,000",Foreign Used
7,Volkswagen Passat 2.0 Sedan 2010 Gray,"Foreign Used, 
Fastest finger
Nothing to fix
Buy and drive
Serious buyer only","? 9,200,000",Foreign Used
8,Mercedes-Benz GLE-Class 2017 Black,"This is a clean tittle accident free with two keys buy and drive ,no single fault light on dashboard...","? 43,550,000",Foreign Used
9,Lexus GX 460 Base 2015 Gray,2015 Lexus GX460 2015 accident free very clean inside and outside the AC is cooling very fine all...,"? 48,000,000",Foreign Used
10,Toyota Corolla LE 2007 Red,"Accidental free, First Body
Direct Tokunbo
Gear and Engine working perfectly. 
Lagos tincan...","? 8,500,000",Foreign Used
11,Toyota Venza AWD 2010 Gray,Its in excellent condition. A buy and drive. Hurry while offer last,"? 11,200,000",Local Used
12,Toyota Corolla 2013 Blue,"Newly arrived Toyota Corolla,
2013 model,Automatic transmission,
Very clean blue ,
With fully fabric...","? 13,500,000",Foreign Used
13,Nissan Armada 2008 Gray,"Fully Registered Nissan Armada Flex Fuel F150
2008 Model","? 9,000,000",Local Used
14,Toyota Corolla 2015 Blue,Clean toks toyota Corolla 2015 SE with clean interior and powerful sound engine n gear n chilling...,"? 15,700,000",Foreign Used
15,Mercedes-Benz C300 Base C300 RWD Coupe 2019 White,"Foreign used
With fully paid duty","? 45,000,000",Foreign Used
16,Toyota Venza 2011 Gray,"REGISTERED**
Toyota Venza 2011
 **4PLUGS**
* ?THUMBSTART 
* ?Prefect engine and gear 
* ?First body...","? 12,550,000",Local Used
17,Mercedes-Benz GLE-Class GLE 350d 4MATIC 2017 White,GLE350 keyless sunroof power both and many more,"? 40,000,000",Foreign Used
18,Toyota Camry 2010 Gray,Direct belgium neatly used for only 16months. Registered till july 2025. Buy and drive to...,"? 8,500,000",Foreign Used
19,Lexus RX 330 2006 Silver,"The car is very clean in out, accident free with romantic interior, exterior, factory fitted DVD,...","? 12,500,000",Foreign Used
20,Mercedes-Benz M Class 2006 Black,"Direct foreign , neat car , perfectly working , no issues","? 10,500,000",Foreign Used
21,BMW 330i 2021 Black,"Extremely clean and sound 2021 Foreign used BMW 330i
Properly documented 
With original custom duty...","? 43,000,000",Foreign Used
22,Lexus ES 350 2008 Silver,Car in perfect condition buy & drive everything working perfectly fine engine gear untouched...,"? 8,600,000",Local Used
23,Honda Accord 2018 White,"Registered Belgium standard Honda Accord 2018. V4 engine. Untouched engine and gear. First body, AC...","? 14,900,000",Foreign Used
24,Lexus RX 350 2012 Black,"Very clean Lexus RX 350 2012 model with thumbstart black color 
Accident free
Good and neat...","? 20,500,000",Foreign Used
25,Mercedes-Benz C450 2016 White,Mercedes Benz C450 Foreign used for sale now in abuja clean title,"? 43,000,000",Foreign Used
26,Mercedes-Benz M Class ML 350 4Matic 2012 Brown,"Tokunbo 2012 Mercedes-Benz ML 350, Brown Color, Keyless Entry, Accident Free, Run and Drive, Clean...","? 25,200,000",Foreign Used
27,Volkswagen Passat 2.0 Sedan 2010 Gray,"Foreign Used, 
Fastest finger
Nothing to fix
Buy and drive
Serious buyer only","? 9,200,000",Foreign Used
28,Mercedes-Benz GLE-Class 2017 Black,"This is a clean tittle accident free with two keys buy and drive ,no single fault light on dashboard...","? 43,550,000",Foreign Used
29,Lexus GX 460 Base 2015 Gray,2015 Lexus GX460 2015 accident free very clean inside and outside the AC is cooling very fine all...,"? 48,000,000",Foreign Used
30,Toyota Corolla LE 2007 Red,"Accidental free, First Body
Direct Tokunbo
Gear and Engine working perfectly. 
Lagos tincan...","? 8,500,000",Foreign Used
31,Toyota Venza AWD 2010 Gray,Its in excellent condition. A buy and drive. Hurry while offer last,"? 11,200,000",Local Used
32,Toyota Corolla 2013 Blue,"Newly arrived Toyota Corolla,
2013 model,Automatic transmission,
Very clean blue ,
With fully fabric...","? 13,500,000",Foreign Used
33,Nissan Armada 2008 Gray,"Fully Registered Nissan Armada Flex Fuel F150
2008 Model","? 9,000,000",Local Used
34,Toyota Corolla 2015 Blue,Clean toks toyota Corolla 2015 SE with clean interior and powerful sound engine n gear n chilling...,"? 15,700,000",Foreign Used
35,Mercedes-Benz C300 Base C300 RWD Coupe 2019 White,"Foreign used
With fully paid duty","? 45,000,000",Foreign Used
36,Toyota Venza 2011 Gray,"REGISTERED**
Toyota Venza 2011
 **4PLUGS**
* ?THUMBSTART 
* ?Prefect engine and gear 
* ?First body...","? 12,550,000",Local Used
37,Mercedes-Benz GLE-Class GLE 350d 4MATIC 2017 White,GLE350 keyless sunroof power both and many more,"? 40,000,000",Foreign Used
38,Toyota Camry 2010 Gray,Direct belgium neatly used for only 16months. Registered till july 2025. Buy and drive to...,"? 8,500,000",Foreign Used
39,Lexus RX 330 2006 Silver,"The car is very clean in out, accident free with romantic interior, exterior, factory fitted DVD,...","? 12,500,000",Foreign Used
40,Mercedes-Benz M Class 2006 Black,"Direct foreign , neat car , perfectly working , no issues","? 10,500,000",Foreign Used
41,BMW 330i 2021 Black,"Extremely clean and sound 2021 Foreign used BMW 330i
Properly documented 
With original custom duty...","? 43,000,000",Foreign Used
42,Lexus ES 350 2008 Silver,Car in perfect condition buy & drive everything working perfectly fine engine gear untouched...,"? 8,600,000",Local Used
43,Honda Accord 2018 White,"Registered Belgium standard Honda Accord 2018. V4 engine. Untouched engine and gear. First body, AC...","? 14,900,000",Foreign Used
44,Lexus RX 350 2012 Black,"Very clean Lexus RX 350 2012 model with thumbstart black color 
Accident free
Good and neat...","? 20,500,000",Foreign Used
45,Mercedes-Benz C450 2016 White,Mercedes Benz C450 Foreign used for sale now in abuja clean title,"? 43,000,000",Foreign Used
46,Mercedes-Benz M Class ML 350 4Matic 2012 Brown,"Tokunbo 2012 Mercedes-Benz ML 350, Brown Color, Keyless Entry, Accident Free, Run and Drive, Clean...","? 25,200,000",Foreign Used
47,Volkswagen Passat 2.0 Sedan 2010 Gray,"Foreign Used, 
Fastest finger
Nothing to fix
Buy and drive
Serious buyer only","? 9,200,000",Foreign Used
48,Mercedes-Benz GLE-Class 2017 Black,"This is a clean tittle accident free with two keys buy and drive ,no single fault light on dashboard...","? 43,550,000",Foreign Used
49,Lexus GX 460 Base 2015 Gray,2015 Lexus GX460 2015 accident free very clean inside and outside the AC is cooling very fine all...,"? 48,000,000",Foreign Used
50,Toyota Corolla LE 2007 Red,"Accidental free, First Body
Direct Tokunbo
Gear and Engine working perfectly. 
Lagos tincan...","? 8,500,000",Foreign Used
51,Toyota Venza AWD 2010 Gray,Its in excellent condition. A buy and drive. Hurry while offer last,"? 11,200,000",Local Used
52,Toyota Corolla 2013 Blue,"Newly arrived Toyota Corolla,
2013 model,Automatic transmission,
Very clean blue ,
With fully fabric...","? 13,500,000",Foreign Used
53,Nissan Armada 2008 Gray,"Fully Registered Nissan Armada Flex Fuel F150
2008 Model","? 9,000,000",Local Used
54,Toyota Corolla 2015 Blue,Clean toks toyota Corolla 2015 SE with clean interior and powerful sound engine n gear n chilling...,"? 15,700,000",Foreign Used
55,Mercedes-Benz C300 Base C300 RWD Coupe 2019 White,"Foreign used
With fully paid duty","? 45,000,000",Foreign Used
56,Toyota Venza 2011 Gray,"REGISTERED**
Toyota Venza 2011
 **4PLUGS**
* ?THUMBSTART 
* ?Prefect engine and gear 
* ?First body...","? 12,550,000",Local Used
57,Mercedes-Benz GLE-Class GLE 350d 4MATIC 2017 White,GLE350 keyless sunroof power both and many more,"? 40,000,000",Foreign Used
58,Toyota Camry 2010 Gray,Direct belgium neatly used for only 16months. Registered till july 2025. Buy and drive to...,"? 8,500,000",Foreign Used
59,Lexus RX 330 2006 Silver,"The car is very clean in out, accident free with romantic interior, exterior, factory fitted DVD,...","? 12,500,000",Foreign Used
60,Mercedes-Benz M Class 2006 Black,"Direct foreign , neat car , perfectly working , no issues","? 10,500,000",Foreign Used
61,BMW 330i 2021 Black,"Extremely clean and sound 2021 Foreign used BMW 330i
Properly documented 
With original custom duty...","? 43,000,000",Foreign Used
62,Lexus ES 350 2008 Silver,Car in perfect condition buy & drive everything working perfectly fine engine gear untouched...,"? 8,600,000",Local Used
63,Honda Accord 2018 White,"Registered Belgium standard Honda Accord 2018. V4 engine. Untouched engine and gear. First body, AC...","? 14,900,000",Foreign Used
64,Lexus RX 350 2012 Black,"Very clean Lexus RX 350 2012 model with thumbstart black color 
Accident free
Good and neat...","? 20,500,000",Foreign Used
65,Mercedes-Benz C450 2016 White,Mercedes Benz C450 Foreign used for sale now in abuja clean title,"? 43,000,000",Foreign Used
66,Mercedes-Benz M Class ML 350 4Matic 2012 Brown,"Tokunbo 2012 Mercedes-Benz ML 350, Brown Color, Keyless Entry, Accident Free, Run and Drive, Clean...","? 25,200,000",Foreign Used
67,Volkswagen Passat 2.0 Sedan 2010 Gray,"Foreign Used, 
Fastest finger
Nothing to fix
Buy and drive
Serious buyer only","? 9,200,000",Foreign Used
68,Mercedes-Benz GLE-Class 2017 Black,"This is a clean tittle accident free with two keys buy and drive ,no single fault light on dashboard...","? 43,550,000",Foreign Used
69,Lexus GX 460 Base 2015 Gray,2015 Lexus GX460 2015 accident free very clean inside and outside the AC is cooling very fine all...,"? 48,000,000",Foreign Used
70,Toyota Corolla LE 2007 Red,"Accidental free, First Body
Direct Tokunbo
Gear and Engine working perfectly. 
Lagos tincan...","? 8,500,000",Foreign Used
71,Toyota Venza AWD 2010 Gray,Its in excellent condition. A buy and drive. Hurry while offer last,"? 11,200,000",Local Used
72,Toyota Corolla 2013 Blue,"Newly arrived Toyota Corolla,
2013 model,Automatic transmission,
Very clean blue ,
With fully fabric...","? 13,500,000",Foreign Used
73,Nissan Armada 2008 Gray,"Fully Registered Nissan Armada Flex Fuel F150
2008 Model","? 9,000,000",Local Used
74,Toyota Corolla 2015 Blue,Clean toks toyota Corolla 2015 SE with clean interior and powerful sound engine n gear n chilling...,"? 15,700,000",Foreign Used
75,Mercedes-Benz C300 Base C300 RWD Coupe 2019 White,"Foreign used
With fully paid duty","? 45,000,000",Foreign Used
76,Toyota Venza 2011 Gray,"REGISTERED**
Toyota Venza 2011
 **4PLUGS**
* ?THUMBSTART 
* ?Prefect engine and gear 
* ?First body...","? 12,550,000",Local Used
77,Mercedes-Benz GLE-Class GLE 350d 4MATIC 2017 White,GLE350 keyless sunroof power both and many more,"? 40,000,000",Foreign Used
78,Toyota Camry 2010 Gray,Direct belgium neatly used for only 16months. Registered till july 2025. Buy and drive to...,"? 8,500,000",Foreign Used
79,Lexus RX 330 2006 Silver,"The car is very clean in out, accident free with romantic interior, exterior, factory fitted DVD,...","? 12,500,000",Foreign Used
80,Mercedes-Benz M Class 2006 Black,"Direct foreign , neat car , perfectly working , no issues","? 10,500,000",Foreign Used
81,BMW 330i 2021 Black,"Extremely clean and sound 2021 Foreign used BMW 330i
Properly documented 
With original custom duty...","? 43,000,000",Foreign Used
82,Lexus ES 350 2008 Silver,Car in perfect condition buy & drive everything working perfectly fine engine gear untouched...,"? 8,600,000",Local Used
83,Honda Accord 2018 White,"Registered Belgium standard Honda Accord 2018. V4 engine. Untouched engine and gear. First body, AC...","? 14,900,000",Foreign Used
84,Lexus RX 350 2012 Black,"Very clean Lexus RX 350 2012 model with thumbstart black color 
Accident free
Good and neat...","? 20,500,000",Foreign Used
85,Mercedes-Benz C450 2016 White,Mercedes Benz C450 Foreign used for sale now in abuja clean title,"? 43,000,000",Foreign Used
86,Mercedes-Benz M Class ML 350 4Matic 2012 Brown,"Tokunbo 2012 Mercedes-Benz ML 350, Brown Color, Keyless Entry, Accident Free, Run and Drive, Clean...","? 25,200,000",Foreign Used
87,Volkswagen Passat 2.0 Sedan 2010 Gray,"Foreign Used, 
Fastest finger
Nothing to fix
Buy and drive
Serious buyer only","? 9,200,000",Foreign Used
88,Mercedes-Benz GLE-Class 2017 Black,"This is a clean tittle accident free with two keys buy and drive ,no single fault light on dashboard...","? 43,550,000",Foreign Used
89,Lexus GX 460 Base 2015 Gray,2015 Lexus GX460 2015 accident free very clean inside and outside the AC is cooling very fine all...,"? 48,000,000",Foreign Used
90,Toyota Corolla LE 2007 Red,"Accidental free, First Body
Direct Tokunbo
Gear and Engine working perfectly. 
Lagos tincan...","? 8,500,000",Foreign Used
91,Toyota Venza AWD 2010 Gray,Its in excellent condition. A buy and drive. Hurry while offer last,"? 11,200,000",Local Used
92,Toyota Corolla 2013 Blue,"Newly arrived Toyota Corolla,
2013 model,Automatic transmission,
Very clean blue ,
With fully fabric...","? 13,500,000",Foreign Used
93,Nissan Armada 2008 Gray,"Fully Registered Nissan Armada Flex Fuel F150
2008 Model","? 9,000,000",Local Used
94,Toyota Corolla 2015 Blue,Clean toks toyota Corolla 2015 SE with clean interior and powerful sound engine n gear n chilling...,"? 15,700,000",Foreign Used
95,Mercedes-Benz C300 Base C300 RWD Coupe 2019 White,"Foreign used
With fully paid duty","? 45,000,000",Foreign Used
96,Toyota Venza 2011 Gray,"REGISTERED**
Toyota Venza 2011
 **4PLUGS**
* ?THUMBSTART 
* ?Prefect engine and gear 
* ?First body...","? 12,550,000",Local Used
97,Mercedes-Benz GLE-Class GLE 350d 4MATIC 2017 White,GLE350 keyless sunroof power both and many more,"? 40,000,000",Foreign Used
98,Toyota Camry 2010 Gray,Direct belgium neatly used for only 16months. Registered till july 2025. Buy and drive to...,"? 8,500,000",Foreign Used
99,Lexus RX 330 2006 Silver,"The car is very clean in out, accident free with romantic interior, exterior, factory fitted DVD,...","? 12,500,000",Foreign Used
100,Mercedes-Benz M Class 2006 Black,"Direct foreign , neat car , perfectly working , no issues","? 10,500,000",Foreign Used
101,BMW 330i 2021 Black,"Extremely clean and sound 2021 Foreign used BMW 330i
Properly documented 
With original custom duty...","? 43,000,000",Foreign Used
102,Lexus ES 350 2008 Silver,Car in perfect condition buy & drive everything working perfectly fine engine gear untouched...,"? 8,600,000",Local Used
103,Honda Accord 2018 White,"Registered Belgium standard Honda Accord 2018. V4 engine. Untouched engine and gear. First body, AC...","? 14,900,000",Foreign Used
104,Lexus RX 350 2012 Black,"Very clean Lexus RX 350 2012 model with thumbstart black color 
Accident free
Good and neat...","? 20,500,000",Foreign Used
105,Mercedes-Benz C450 2016 White,Mercedes Benz C450 Foreign used for sale now in abuja clean title,"? 43,000,000",Foreign Used
106,Mercedes-Benz M Class ML 350 4Matic 2012 Brown,"Tokunbo 2012 Mercedes-Benz ML 350, Brown Color, Keyless Entry, Accident Free, Run and Drive, Clean...","? 25,200,000",Foreign Used
107,Volkswagen Passat 2.0 Sedan 2010 Gray,"Foreign Used, 
Fastest finger
Nothing to fix
Buy and drive
Serious buyer only","? 9,200,000",Foreign Used
108,Mercedes-Benz GLE-Class 2017 Black,"This is a clean tittle accident free with two keys buy and drive ,no single fault light on dashboard...","? 43,550,000",Foreign Used
109,Lexus GX 460 Base 2015 Gray,2015 Lexus GX460 2015 accident free very clean inside and outside the AC is cooling very fine all...,"? 48,000,000",Foreign Used
110,Toyota Corolla LE 2007 Red,"Accidental free, First Body
Direct Tokunbo
Gear and Engine working perfectly. 
Lagos tincan...","? 8,500,000",Foreign Used
111,Toyota Venza AWD 2010 Gray,Its in excellent condition. A buy and drive. Hurry while offer last,"? 11,200,000",Local Used
112,Toyota Corolla 2013 Blue,"Newly arrived Toyota Corolla,
2013 model,Automatic transmission,
Very clean blue ,
With fully fabric...","? 13,500,000",Foreign Used
113,Nissan Armada 2008 Gray,"Fully Registered Nissan Armada Flex Fuel F150
2008 Model","? 9,000,000",Local Used
114,Toyota Corolla 2015 Blue,Clean toks toyota Corolla 2015 SE with clean interior and powerful sound engine n gear n chilling...,"? 15,700,000",Foreign Used
115,Mercedes-Benz C300 Base C300 RWD Coupe 2019 White,"Foreign used
With fully paid duty","? 45,000,000",Foreign Used
116,Toyota Venza 2011 Gray,"REGISTERED**
Toyota Venza 2011
 **4PLUGS**
* ?THUMBSTART 
* ?Prefect engine and gear 
* ?First body...","? 12,550,000",Local Used
117,Mercedes-Benz GLE-Class GLE 350d 4MATIC 2017 White,GLE350 keyless sunroof power both and many more,"? 40,000,000",Foreign Used
118,Toyota Camry 2010 Gray,Direct belgium neatly used for only 16months. Registered till july 2025. Buy and drive to...,"? 8,500,000",Foreign Used
119,Lexus RX 330 2006 Silver,"The car is very clean in out, accident free with romantic interior, exterior, factory fitted DVD,...","? 12,500,000",Foreign Used
120,Mercedes-Benz M Class 2006 Black,"Direct foreign , neat car , perfectly working , no issues","? 10,500,000",Foreign Used
121,BMW 330i 2021 Black,"Extremely clean and sound 2021 Foreign used BMW 330i
Properly documented 
With original custom duty...","? 43,000,000",Foreign Used
122,Lexus ES 350 2008 Silver,Car in perfect condition buy & drive everything working perfectly fine engine gear untouched...,"? 8,600,000",Local Used
123,Honda Accord 2018 White,"Registered Belgium standard Honda Accord 2018. V4 engine. Untouched engine and gear. First body, AC...","? 14,900,000",Foreign Used
124,Lexus RX 350 2012 Black,"Very clean Lexus RX 350 2012 model with thumbstart black color 
Accident free
Good and neat...","? 20,500,000",Foreign Used
125,Mercedes-Benz C450 2016 White,Mercedes Benz C450 Foreign used for sale now in abuja clean title,"? 43,000,000",Foreign Used
126,Mercedes-Benz M Class ML 350 4Matic 2012 Brown,"Tokunbo 2012 Mercedes-Benz ML 350, Brown Color, Keyless Entry, Accident Free, Run and Drive, Clean...","? 25,200,000",Foreign Used
127,Volkswagen Passat 2.0 Sedan 2010 Gray,"Foreign Used, 
Fastest finger
Nothing to fix
Buy and drive
Serious buyer only","? 9,200,000",Foreign Used
128,Mercedes-Benz GLE-Class 2017 Black,"This is a clean tittle accident free with two keys buy and drive ,no single fault light on dashboard...","? 43,550,000",Foreign Used
129,Lexus GX 460 Base 2015 Gray,2015 Lexus GX460 2015 accident free very clean inside and outside the AC is cooling very fine all...,"? 48,000,000",Foreign Used
130,Toyota Corolla LE 2007 Red,"Accidental free, First Body
Direct Tokunbo
Gear and Engine working perfectly. 
Lagos tincan...","? 8,500,000",Foreign Used
131,Toyota Venza AWD 2010 Gray,Its in excellent condition. A buy and drive. Hurry while offer last,"? 11,200,000",Local Used
132,Toyota Corolla 2013 Blue,"Newly arrived Toyota Corolla,
2013 model,Automatic transmission,
Very clean blue ,
With fully fabric...","? 13,500,000",Foreign Used
133,Nissan Armada 2008 Gray,"Fully Registered Nissan Armada Flex Fuel F150
2008 Model","? 9,000,000",Local Used
134,Toyota Corolla 2015 Blue,Clean toks toyota Corolla 2015 SE with clean interior and powerful sound engine n gear n chilling...,"? 15,700,000",Foreign Used
135,Mercedes-Benz C300 Base C300 RWD Coupe 2019 White,"Foreign used
With fully paid duty","? 45,000,000",Foreign Used
136,Toyota Venza 2011 Gray,"REGISTERED**
Toyota Venza 2011
 **4PLUGS**
* ?THUMBSTART 
* ?Prefect engine and gear 
* ?First body...","? 12,550,000",Local Used
137,Mercedes-Benz GLE-Class GLE 350d 4MATIC 2017 White,GLE350 keyless sunroof power both and many more,"? 40,000,000",Foreign Used
138,Toyota Camry 2010 Gray,Direct belgium neatly used for only 16months. Registered till july 2025. Buy and drive to...,"? 8,500,000",Foreign Used
139,Lexus RX 330 2006 Silver,"The car is very clean in out, accident free with romantic interior, exterior, factory fitted DVD,...","? 12,500,000",Foreign Used
140,Mercedes-Benz M Class 2006 Black,"Direct foreign , neat car , perfectly working , no issues","? 10,500,000",Foreign Used
141,BMW 330i 2021 Black,"Extremely clean and sound 2021 Foreign used BMW 330i
Properly documented 
With original custom duty...","? 43,000,000",Foreign Used
142,Lexus ES 350 2008 Silver,Car in perfect condition buy & drive everything working perfectly fine engine gear untouched...,"? 8,600,000",Local Used
143,Honda Accord 2018 White,"Registered Belgium standard Honda Accord 2018. V4 engine. Untouched engine and gear. First body, AC...","? 14,900,000",Foreign Used
144,Lexus RX 350 2012 Black,"Very clean Lexus RX 350 2012 model with thumbstart black color 
Accident free
Good and neat...","? 20,500,000",Foreign Used
145,Mercedes-Benz C450 2016 White,Mercedes Benz C450 Foreign used for sale now in abuja clean title,"? 43,000,000",Foreign Used
146,Mercedes-Benz M Class ML 350 4Matic 2012 Brown,"Tokunbo 2012 Mercedes-Benz ML 350, Brown Color, Keyless Entry, Accident Free, Run and Drive, Clean...","? 25,200,000",Foreign Used
147,Volkswagen Passat 2.0 Sedan 2010 Gray,"Foreign Used, 
Fastest finger
Nothing to fix
Buy and drive
Serious buyer only","? 9,200,000",Foreign Used
148,Mercedes-Benz GLE-Class 2017 Black,"This is a clean tittle accident free with two keys buy and drive ,no single fault light on dashboard...","? 43,550,000",Foreign Used
149,Lexus GX 460 Base 2015 Gray,2015 Lexus GX460 2015 accident free very clean inside and outside the AC is cooling very fine all...,"? 48,000,000",Foreign Used
150,Toyota Corolla LE 2007 Red,"Accidental free, First Body
Direct Tokunbo
Gear and Engine working perfectly. 
Lagos tincan...","? 8,500,000",Foreign Used
151,Toyota Venza AWD 2010 Gray,Its in excellent condition. A buy and drive. Hurry while offer last,"? 11,200,000",Local Used
152,Toyota Corolla 2013 Blue,"Newly arrived Toyota Corolla,
2013 model,Automatic transmission,
Very clean blue ,
With fully fabric...","? 13,500,000",Foreign Used
153,Nissan Armada 2008 Gray,"Fully Registered Nissan Armada Flex Fuel F150
2008 Model","? 9,000,000",Local Used
154,Toyota Corolla 2015 Blue,Clean toks toyota Corolla 2015 SE with clean interior and powerful sound engine n gear n chilling...,"? 15,700,000",Foreign Used
155,Mercedes-Benz C300 Base C300 RWD Coupe 2019 White,"Foreign used
With fully paid duty","? 45,000,000",Foreign Used
156,Toyota Venza 2011 Gray,"REGISTERED**
Toyota Venza 2011
 **4PLUGS**
* ?THUMBSTART 
* ?Prefect engine and gear 
* ?First body...","? 12,550,000",Local Used
157,Mercedes-Benz GLE-Class GLE 350d 4MATIC 2017 White,GLE350 keyless sunroof power both and many more,"? 40,000,000",Foreign Used
158,Toyota Camry 2010 Gray,Direct belgium neatly used for only 16months. Registered till july 2025. Buy and drive to...,"? 8,500,000",Foreign Used
159,Lexus RX 330 2006 Silver,"The car is very clean in out, accident free with romantic interior, exterior, factory fitted DVD,...","? 12,500,000",Foreign Used
160,Mercedes-Benz M Class 2006 Black,"Direct foreign , neat car , perfectly working , no issues","? 10,500,000",Foreign Used
161,BMW 330i 2021 Black,"Extremely clean and sound 2021 Foreign used BMW 330i
Properly documented 
With original custom duty...","? 43,000,000",Foreign Used
162,Lexus ES 350 2008 Silver,Car in perfect condition buy & drive everything working perfectly fine engine gear untouched...,"? 8,600,000",Local Used
163,Honda Accord 2018 White,"Registered Belgium standard Honda Accord 2018. V4 engine. Untouched engine and gear. First body, AC...","? 14,900,000",Foreign Used
164,Lexus RX 350 2012 Black,"Very clean Lexus RX 350 2012 model with thumbstart black color 
Accident free
Good and neat...","? 20,500,000",Foreign Used
165,Mercedes-Benz C450 2016 White,Mercedes Benz C450 Foreign used for sale now in abuja clean title,"? 43,000,000",Foreign Used
166,Mercedes-Benz M Class ML 350 4Matic 2012 Brown,"Tokunbo 2012 Mercedes-Benz ML 350, Brown Color, Keyless Entry, Accident Free, Run and Drive, Clean...","? 25,200,000",Foreign Used
167,Volkswagen Passat 2.0 Sedan 2010 Gray,"Foreign Used, 
Fastest finger
Nothing to fix
Buy and drive
Serious buyer only","? 9,200,000",Foreign Used
168,Mercedes-Benz GLE-Class 2017 Black,"This is a clean tittle accident free with two keys buy and drive ,no single fault light on dashboard...","? 43,550,000",Foreign Used
169,Lexus GX 460 Base 2015 Gray,2015 Lexus GX460 2015 accident free very clean inside and outside the AC is cooling very fine all...,"? 48,000,000",Foreign Used
170,Toyota Corolla LE 2007 Red,"Accidental free, First Body
Direct Tokunbo
Gear and Engine working perfectly. 
Lagos tincan...","? 8,500,000",Foreign Used
171,Toyota Venza AWD 2010 Gray,Its in excellent condition. A buy and drive. Hurry while offer last,"? 11,200,000",Local Used
172,Toyota Corolla 2013 Blue,"Newly arrived Toyota Corolla,
2013 model,Automatic transmission,
Very clean blue ,
With fully fabric...","? 13,500,000",Foreign Used
173,Nissan Armada 2008 Gray,"Fully Registered Nissan Armada Flex Fuel F150
2008 Model","? 9,000,000",Local Used
174,Toyota Corolla 2015 Blue,Clean toks toyota Corolla 2015 SE with clean interior and powerful sound engine n gear n chilling...,"? 15,700,000",Foreign Used
175,Mercedes-Benz C300 Base C300 RWD Coupe 2019 White,"Foreign used
With fully paid duty","? 45,000,000",Foreign Used
176,Toyota Venza 2011 Gray,"REGISTERED**
Toyota Venza 2011
 **4PLUGS**
* ?THUMBSTART 
* ?Prefect engine and gear 
* ?First body...","? 12,550,000",Local Used
177,Mercedes-Benz GLE-Class GLE 350d 4MATIC 2017 White,GLE350 keyless sunroof power both and many more,"? 40,000,000",Foreign Used
178,Toyota Camry 2010 Gray,Direct belgium neatly used for only 16months. Registered till july 2025. Buy and drive to...,"? 8,500,000",Foreign Used
179,Lexus RX 330 2006 Silver,"The car is very clean in out, accident free with romantic interior, exterior, factory fitted DVD,...","? 12,500,000",Foreign Used
180,Mercedes-Benz M Class 2006 Black,"Direct foreign , neat car , perfectly working , no issues","? 10,500,000",Foreign Used
181,BMW 330i 2021 Black,"Extremely clean and sound 2021 Foreign used BMW 330i
Properly documented 
With original custom duty...","? 43,000,000",Foreign Used
182,Lexus ES 350 2008 Silver,Car in perfect condition buy & drive everything working perfectly fine engine gear untouched...,"? 8,600,000",Local Used
183,Honda Accord 2018 White,"Registered Belgium standard Honda Accord 2018. V4 engine. Untouched engine and gear. First body, AC...","? 14,900,000",Foreign Used
184,Lexus RX 350 2012 Black,"Very clean Lexus RX 350 2012 model with thumbstart black color 
Accident free
Good and neat...","? 20,500,000",Foreign Used
185,Mercedes-Benz C450 2016 White,Mercedes Benz C450 Foreign used for sale now in abuja clean title,"? 43,000,000",Foreign Used
186,Mercedes-Benz M Class ML 350 4Matic 2012 Brown,"Tokunbo 2012 Mercedes-Benz ML 350, Brown Color, Keyless Entry, Accident Free, Run and Drive, Clean...","? 25,200,000",Foreign Used
187,Volkswagen Passat 2.0 Sedan 2010 Gray,"Foreign Used, 
Fastest finger
Nothing to fix
Buy and drive
Serious buyer only","? 9,200,000",Foreign Used
188,Mercedes-Benz GLE-Class 2017 Black,"This is a clean tittle accident free with two keys buy and drive ,no single fault light on dashboard...","? 43,550,000",Foreign Used
189,Lexus GX 460 Base 2015 Gray,2015 Lexus GX460 2015 accident free very clean inside and outside the AC is cooling very fine all...,"? 48,000,000",Foreign Used
190,Toyota Corolla LE 2007 Red,"Accidental free, First Body
Direct Tokunbo
Gear and Engine working perfectly. 
Lagos tincan...","? 8,500,000",Foreign Used
191,Toyota Venza AWD 2010 Gray,Its in excellent condition. A buy and drive. Hurry while offer last,"? 11,200,000",Local Used
192,Toyota Corolla 2013 Blue,"Newly arrived Toyota Corolla,
2013 model,Automatic transmission,
Very clean blue ,
With fully fabric...","? 13,500,000",Foreign Used
